Kod,Şirket Ünvanı,Şehir,Bağımsız Denetim Kuruluşu
TUCLK,TUĞÇELİK ALÜMİNYUM VE METAL MAMÜLLERİ SANAYİ VE TİCARET A.Ş.,İSTANBUL,GÜNCEL BAĞIMSIZ DENETİM DANIŞMANLIK A.Ş.
TUKAS,TUKAŞ GIDA SANAYİ VE TİCARET A.Ş.,İZMİR,DENEYİM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
TRCAS,TURCAS PETROL A.Ş.,İSTANBUL,BDO DENET BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
TUREX,TUREKS TURİZM TAŞIMACILIK A.Ş.,İSTANBUL,EREN BAĞIMSIZ DENETİM A.Ş.
MARBL,TUREKS TURUNÇ MADENCİLİK İÇ VE DIŞ TİCARET A.Ş.,AFYONKARAHİSAR,GÜRELİ YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.
TRKFN,TURK FİNANSMAN A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
TRILC,TURK İLAÇ VE SERUM SANAYİ A.Ş.,ANKARA,DENEYİM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
TCELL,TURKCELL İLETİŞİM HİZMETLERİ A.Ş.,İSTANBUL,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
"TBA, TRKSH",TURKISH BANK A.Ş.,İSTANBUL,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
TMSN,TÜMOSAN MOTOR VE TRAKTÖR SANAYİ A.Ş.,İSTANBUL,VİZYON GRUP BAĞIMSIZ DENETİM.A.Ş.
TUPRS,TÜPRAŞ-TÜRKİYE PETROL RAFİNERİLERİ A.Ş.,İSTANBUL,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
THYAO,TÜRK HAVA YOLLARI A.O.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
PRKAB,TÜRK PRYSMİAN KABLO VE SİSTEMLERİ A.Ş.,BURSA,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
TTKOM,TÜRK TELEKOMÜNİKASYON A.Ş.,ANKARA,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
TTRAK,TÜRK TRAKTÖR VE ZİRAAT MAKİNELERİ A.Ş.,ANKARA,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
TBORG,TÜRK TUBORG BİRA VE MALT SANAYİİ A.Ş.,İZMİR,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
TURGG,TÜRKER PROJE GAYRİMENKUL VE YATIRIM GELİŞTİRME A.Ş.,İSTANBUL,GÜRELİ YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.
"GARAN, TGB",TÜRKİYE GARANTİ BANKASI A.Ş.,İSTANBUL,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
"HALKB, THL",TÜRKİYE HALK BANKASI A.Ş.,İSTANBUL,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
"EXIMB, THR",TÜRKİYE İHRACAT KREDİ BANKASI A.Ş.,İSTANBUL,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
"ISATR, ISBTR, ISCTR, ISKUR, TIB",TÜRKİYE İŞ BANKASI A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
"KLN, KLNMA",TÜRKİYE KALKINMA VE YATIRIM BANKASI A.Ş.,İSTANBUL,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
"TSK, TSKB",TÜRKİYE SINAİ KALKINMA BANKASI A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
TURSG,TÜRKİYE SİGORTA A.Ş.,İSTANBUL,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
SISE,TÜRKİYE ŞİŞE VE CAM FABRİKALARI A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
"TVB, VAKBN",TÜRKİYE VAKIFLAR BANKASI T.A.O.,İSTANBUL,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
TV8TV,TV8 TV YAYINCILIK A.Ş.,İSTANBUL,GÜRELİ YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.
UFUK,UFUK YATIRIM YÖNETİM VE GAYRİMENKUL A.Ş.,İSTANBUL,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
ULAS,ULAŞLAR TURİZM ENERJİ TARIM GIDA VE İNŞAAT YATIRIMLARI A.Ş.,ANKARA,DENEYİM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
ULUFA,ULUSAL FAKTORİNG A.Ş.,İSTANBUL,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
ULUSE,ULUSOY ELEKTRİK İMALAT TAAHHÜT VE TİCARET A.Ş.,ANKARA,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
ULUUN,ULUSOY UN SANAYİ VE TİCARET A.Ş.,SAMSUN,FİNANSAL EKSEN BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
UMPAS,UMPAŞ HOLDİNG A.Ş.,UŞAK,GÜNCEL BAĞIMSIZ DENETİM DANIŞMANLIK A.Ş.
USAK,UŞAK SERAMİK SANAYİ A.Ş.,UŞAK,DENEYİM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
ULKER,ÜLKER BİSKÜVİ SANAYİ A.Ş.,İSTANBUL,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
UNLU,ÜNLÜ YATIRIM HOLDİNG A.Ş.,İSTANBUL,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
VAKFN,VAKIF FİNANSAL KİRALAMA A.Ş.,İSTANBUL,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
VKGYO,VAKIF GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
VKFYO,VAKIF MENKUL KIYMET YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
VAKVK,VAKIF VARLIK KİRALAMA A.Ş.,İSTANBUL,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
VAKKO,VAKKO TEKSTİL VE HAZIR GİYİM SANAYİ İŞLETMELERİ A.Ş.,İSTANBUL,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
VANGD,VANET GIDA SANAYİ İÇ VE DIŞ TİCARET A.Ş.,İSTANBUL,YEDİTEPE BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
VBTYZ,VBT YAZILIM A.Ş.,İSTANBUL,ECOVİS DEĞER BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
VDFLO,VDF FİLO KİRALAMA A.Ş.,İSTANBUL,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
VRGYO,VERA KONSEPT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,ANKARA,DENEYİM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
VERUS,VERUSA HOLDİNG A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
VERTU,VERUSATURK GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
VESBE,VESTEL BEYAZ EŞYA SANAYİ VE TİCARET A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
VESTL,VESTEL ELEKTRONİK SANAYİ VE TİCARET A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
VKING,VİKİNG KAĞIT VE SELÜLOZ A.Ş.,İZMİR,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
VDFAS,VOLKSWAGEN DOĞUŞ FİNANSMAN A.Ş.,İSTANBUL,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
YKFKT,YAPI KREDİ FAKTORİNG A.Ş.,İSTANBUL,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
YKFIN,YAPI KREDİ FİNANSAL KİRALAMA A.O.,İSTANBUL,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
"YKR, YKYAT",YAPI KREDİ YATIRIM MENKUL DEĞERLER A.Ş.,İSTANBUL,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
"YKB, YKBNK",YAPI VE KREDİ BANKASI A.Ş.,İSTANBUL,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
YAPRK,YAPRAK SÜT VE BESİ ÇİFTLİKLERİ SANAYİ VE TİCARET A.Ş.,İSTANBUL,ECOVİS DEĞER BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
YATAS,YATAŞ YATAK VE YORGAN SANAYİ TİCARET A.Ş.,KAYSERİ,PKF ADAY BAĞIMSIZ DENETİM A.Ş.
YATVK,YATIRIM VARLIK KİRALAMA A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
YYLGD,YAYLA AGRO GIDA SANAYİ VE TİCARET A.Ş.,ANKARA,EREN BAĞIMSIZ DENETİM A.Ş.
YAYLA,YAYLA ENERJİ ÜRETİM TURİZM VE İNŞAAT TİCARET A.Ş.,ANKARA,KARAR BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
YGGYO,YENİ GİMAT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,ANKARA,SER-BERKER BAĞIMSIZ DENETİM A.Ş.
YEOTK,YEO TEKNOLOJİ ENERJİ VE ENDÜSTRİ A.Ş.,İSTANBUL,GÜRELİ YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.
YGYO,YEŞİL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,PKF ADAY BAĞIMSIZ DENETİM A.Ş.
YYAPI,YEŞİL YAPI ENDÜSTRİSİ A.Ş.,İSTANBUL,PKF ADAY BAĞIMSIZ DENETİM A.Ş.
YESIL,YEŞİL YATIRIM HOLDİNG A.Ş.,İSTANBUL,PKF ADAY BAĞIMSIZ DENETİM A.Ş.
YBTAS,YİBİTAŞ YOZGAT İŞÇİ BİRLİĞİ İNŞAAT MALZEMELERİ TİCARET VE SANAYİ A.Ş.,YOZGAT,DENGE ANKARA BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
YIGIT,YİĞİT AKÜ MALZEMELERİ NAKLİYAT TURİZM İNŞAAT SANAYİ VE TİCARET A.Ş.,ANKARA,DENEYİM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
YONGA,YONGA MOBİLYA SANAYİ VE TİCARET A.Ş.,DENİZLİ,NEVADOS BAĞIMSIZ DENETİM A.Ş.
YKSLN,YÜKSELEN ÇELİK A.Ş.,İSTANBUL,HSY DANIŞMANLIK VE BAĞIMSIZ DENETİM A.Ş.
YUNSA,YÜNSA YÜNLÜ SANAYİ VE TİCARET A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
ZEDUR,ZEDUR ENERJİ ELEKTRİK ÜRETİM A.Ş.,ANKARA,GÜNCEL BAĞIMSIZ DENETİM DANIŞMANLIK A.Ş.
ZRGYO,ZİRAAT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
ZKBVK,ZİRAAT KATILIM VARLIK KİRALAMA A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
ZKBVR,ZKB VARLIK KİRALAMA A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
ZOREN,ZORLU ENERJİ ELEKTRİK ÜRETİM A.Ş.,BURSA,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
ZORLF,ZORLU FAKTORİNG A.Ş.,İSTANBUL,CONSULTA BAĞIMSIZ DENETİM VE Y.M.M. A.Ş.
